    "ABEV3_min"     1,2802           58,655        
    "ABEV3_max"      1,247           55,193        
    "BBAS3_min"     1,6963            59,05        
    "BBAS3_max"     1,5474           57,666        
    "BBDC4_min"       1,61           55,687        
    "BBDC4_max"     1,5366           55,292        
    "ITUB4_min"     1,5496           55,094        
    "ITUB4_max"     1,4736           56,182        
    "PETR4_min"     2,0603           57,369        
    "PETR4_max"     1,7795           58,952        
    "VALE3_min"     1,5868           55,786        
    "VALE3_max"      1,464           55,391        
    "WDO_min"      0,72089            56,63        
    "WDO_max"      0,86036           59,721        
    "WIN_min"       1,1671           54,896        
    "WIN_max"      0,97914            56,38        
