,stock_code,maximum_drawdown,maximum_drawdown_percentage,rate,gain,stop,annualized_returns
0,PETR4,-38495.021358000056,-48.7150339844794,32.06106870229007,0.5,0.1,15.024475627029489
1,VALE3,-26506.244756999862,-50.47691393158888,32.98429319371728,0.5,0.1,23.76437079154863
2,WDO,-17192.747499999423,-33.7560841189299,32.44274809160305,0.5,0.1,11.264431289112231
3,WIN,-27338.865799999985,-35.461841628461585,30.865746549560853,0.5,0.1,1.4529640073583705
4,PETR4,-38495.021358000056,-52.144414911353344,31.61290322580645,0.55,0.1,9.493425378308151
5,VALE3,-25747.48429299982,-47.73509817419339,32.75632490013315,0.55,0.1,27.559533836662055
6,WDO,-17983.46499999945,-35.15326205059718,31.73575129533679,0.55,0.1,4.004124726923908
7,WIN,-27365.579200000022,-39.13421587898832,30.681818181818183,0.55,0.1,0.1307643834121297
8,PETR4,-38495.021358000056,-51.49659850726624,30.899608865710558,0.6000000000000001,0.1,9.878518689501758
9,VALE3,-32466.99329600018,-60.910345892345454,31.43631436314363,0.6000000000000001,0.1,21.760665299307046
10,WDO,-19705.979999999436,-38.52035627749314,30.980392156862745,0.6000000000000001,0.1,4.879527452617571
11,WIN,-29098.51129999999,-48.64980659316485,30.22959183673469,0.6000000000000001,0.1,-3.2462060237781865
12,PETR4,-38495.021358000056,-50.32876197038861,30.35479632063075,0.6500000000000001,0.1,10.145557478107792
13,VALE3,-31241.230551000222,-58.610729414182195,31.13854595336077,0.6500000000000001,0.1,24.232294678756073
14,WDO,-16772.314999999944,-32.67397158039266,30.82010582010582,0.6500000000000001,0.1,7.804797699547228
15,WIN,-29091.559899999993,-50.80584321232933,29.691516709511568,0.6500000000000001,0.1,-1.05079932704093
16,PETR4,-38495.021358000056,-48.286202764399896,30.29100529100529,0.7000000000000002,0.1,12.721421840281998
17,VALE3,-29441.251285999875,-54.40418032892295,30.896551724137932,0.7000000000000002,0.1,29.055487457120744
18,WDO,-15278.745000000054,-27.159699090354838,30.687830687830687,0.7000000000000002,0.1,11.94065371020372
